순,등록번호,제어번호,서명,저자,출판사,발행지,ISBN,KDC,청구기호,상태,확신도,QA 지적,needs_info,메모
72,EM197523,000007281782,세계화는 어떻게 실패했는가,데이비드 J. 린치 지음 ;이혜진 옮김,21세기북스,파주,9791176610520,300,300 린86세,needs_info,low,,목차 / 책소개,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충
73,EM197524,000007281783,센스 있는 생각에는 틀이 있다,"사토 마키,아사미 아야카 지음 ;조사연 옮김",알레,,9791141186784,325.211,325.211 사885센,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
74,EM197525,000007281784,소우주,한승주 지음,메디치미디어,서울,9791157065745,678,678 한57소,ok,high,,,"발췌본의 678 '관악기'는 KDC6판의 '대중음악'과 상이하나, 사서 힌트와 자관 세목 분포를 고려하여 대중음악으로 분류함. / 저자의 이전 도서(당신이 사랑하는 동안에)는 813.6(한국소설)로 분류되었으나, 본 도서는 BTS와 팬덤 문화를 다룬 비문학(문화 르포르타주)이므로 주제에 따라 678로 분류함."
75,EM197526,000007281785,시사(時事) 고사성어,김영수 쓰고 논함,창해,,9791171740765,814.7,814.7 김65시,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,"저자기호 충돌(김64시, 기존 EM0164019 시절일기 :우리가 함께 지나온 밤) → +1 조정"
76,EM197527,000007281786,오늘 급식은 경제입니다,홍기훈 글 ;신병근 그림,데이스타,충주,9791168274648,320.4,320.4 홍18오,ok,high,,,
77,EM197528,000007281787,우리는 어떤 나라를 원하는가,백승주 지음,북루덴스,성남,9791199522138,300,300 백57우,ok,high,,,자관 세목 분포에 경제학(320)이나 재정(351)이 없고 사회과학(300)만 분포하여 300으로 분류함.
78,EM197529,000007281788,유대인 엄마의 경제 교육,사라 이마스 지음 ;임보미 옮김,빅마우스,파주,9791192556611,330.4,330.4 이32유,qa_failed,high,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,번역서로 판단되나 원어를 확인하지 못했습니다(041·546 미생성).,
79,EM197530,000007281789,육식의 종말,제러미 리프킨 지음 ;신현승 옮김,시공사,서울,9791171259427,330,330 리897육,ok,high,,,"자관의 동일 저자 도서가 321, 331 등에 분포되어 있어 사회과학(300) 강목을 따르며, 본서는 육식의 역사와 사회학적 비판을 다루므로 330(사회학, 사회문제)로 분류함."
80,EM197531,000007281790,이순신의 위대한 경영,윤동한 지음,가디언,,9791167782038,325.1,325.1 윤25이,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
81,EM197532,,정프로의 한없이 가벼운 경제 상식,경영진 지음,저녁달,,9791124539040,,,error,,,,
82,EM197533,000007281791,주식 투자의 그릇,지은이: 후지모토 시게루 ;옮긴이: 박선영,다산북스,파주,9791130677460,327.856,327.856 후79주,ok,high,,,"번역 정보 original_author_native를 웹 조사 결과에서 보충 / 자관의 동일 저자 이전 도서(주식 투자의 기쁨)가 327.856으로 분류되어 있어, 본 도서도 동일 강목인 327.856으로 분류함. / 저자기호 충돌(후78주, 기존 EM0194054 주식 투자의 기쁨 : 89세 현역 트) → +1 조정"
83,EM197534,000007281792,주인의 눈,마테오 파스퀴넬리 지음 ;김상민 옮김 ;이광석 해제,동녘,파주,9788972972150,300,300 파57주,qa_failed,high,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,번역서로 판단되나 원어를 확인하지 못했습니다(041·546 미생성).,
84,EM197535,000007281793,중국 AI 미래 지도,지은이: 임선영 ;일러스트: 정진호,책만,안양,9791124309148,325.211,325.211 임54중,ok,high,,,
85,EM197536,000007281794,지랄맞은 사춘기를 죽지 않고 통과하는 일,김선미 지음,온포인트,서울,9791199629714,598.1,598.1 김54지,ok,high,,,자관에서는 동일 저자의 육아서를 598.1로 분류하고 있어 이를 따름.
86,EM197537,000007281795,질서의 종말,로버트 D. 카플란 지음 ;이영래 옮김,한국경제신문,서울,9788947502818,346,346 카897질,needs_info,high,,원서명 및 원출판년도 / 발행년도(2026년) 확인,사서 힌트 325(경영)는 ISBN 부가기호 및 자관 세목 분포에 의한 오분류로 판단됨. 책 내용과 자관 동일 저자 도서(340.98)를 고려하여 340 정치학으로 분류함.
87,EM197538,000007281796,책은 죽지 않는다 本は死なない,이시바시 다케후미 지음 ;[혜화1117] 편집부 옮김,혜화1117,서울,9791191133424,824.7,824.7 이58책,ok,high,,,
88,EM197539,000007281797,청소년과 함께하는 민주주의 이야기,최태현 지음,창비,파주,9788936452476,343,343 최883청,ok,high,,,
89,EM197540,000007281798,최상위 합격을 만드는 시사 융합 탐구력,"한승배,하희,김수경,박유진,박영란,이선주,김민정 지음",포르체,서울,9791194634966,378.9,378.9 한57최,ok,high,,,
90,EM197541,000007281799,콘크리트 유토피아,박해천 지음,워크룸프레스,서울,9791194232407,394,394 박93콘,ok,high,,,"사서의 힌트 520(농업)은 내용과 무관하여 배제하고, 자관의 동일 저자 도서(331.47)와 주제 연속성을 고려하여 사회과학 300번대 중 주생활을 다루는 394로 분류함."
91,EM197542,000007281800,키는 타이밍입니다,박승찬 지음,애플씨드,서울,9791124121115,590.4,590.4 박57키,ok,high,,,"동명이인인 수필가 박승찬(814.7), 철학자 박승찬(230)과 구분되는 인물로, 본서는 소아청소년과 전문의이자 성장클리닉 원장의 육아·건강 서적이므로 590류로 분류함."
92,EM197543,000007281801,하이브리드 씽킹,정병익 지음,에피케,서울,9791199849952,300,300 정44하,ok,high,,,
93,EM197544,000007281802,헤이세이는 왜 실패했는가,노구치 유키오 지음 ;김지영 옮김,글항아리,파주,9791169095808,327.87,327.87 노16헤,ok,high,,,
94,EM197545,000007281803,강아지가 하는 말,릴리 친 글·그림 ;김선아 옮김,책공장더불어,,9791124147023,591.7,591.7,qa_failed,low,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 저자기호가 비어 있습니다. / 260 $a 발행지를 확인하지 못했습니다(needs_info).,원서명 확인 필요 / KDC 591.7 반려동물 세목 자관 적용 여부 확인 필요 / 저자기호: 저자명 '친'이 한 글자라 둘째 글자가 없습니다. 사서 확인이 필요합니다.,사서 제시 641은 KDC6에서 '한자의 서체'로 본서와 무관하므로 채택 불가 / 원저자 릴리 친은 글과 그림을 함께 담당함 / 전 세계 20개국에서 출간된 교양서
95,EM197546,000007281804,기후위기는 어떻게 내 몸을 병들게 하는가,크리스티나 베른트 지음 ;추미란 옮김,동녘,파주,9788972972174,400,400 베297기,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충
96,EM197547,000007281805,나 생명과학 좋아하나 봐,저자 : 이고은;삽화가(그림작가) : 신병근,세번째행성,,9791192585918,470,470 이15나,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
97,EM197548,000007281806,별과 원자,지은이: 아서 에딩턴 ;옮긴이: 권혁,돋을새김,,9788961673792,446,446 에28별,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
98,EM197549,000007281807,새들의 세계,지은이: 마이크 언윈 ;옮긴이: 조은영 ;그림: 류토 미야케,시공사,서울,9791171259410,477.9699,477.9699 언66새,ok,high,,,
99,EM197550,000007281808,생각하는 청소년을 위한 생화학의 역사,정완상 지음,성림원북스,,9791124072271,546,546 정65생,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,사서 분류 힌트 477(생물지리학)은 내용과 맞지 않아 생화학(546)으로 재분류함.
100,EM197551,000007281809,수의사 설채현의 강아지 성장수업,설채현 지음 ;시미씨 그림,김영사,파주,9791173326660,527.41,527.41 설82수,ok,high,,,자관 동일 저자의 기존 도서가 527.41로 분류되어 있어 본 도서도 같은 강목(527.41)을 따름.
101,EM197552,000007281810,수학자의 생각 수업,주하오난 지음 ;이지수 옮김,미디어숲,서울,9791158749286,410.4,410.4 주92수,ok,high,,,
102,EM197553,000007281811,식물은 어떻게 느끼고 행동하고 기억하는가,곽준명 지음,현대지성,서울,9791139733266,481,481 곽76식,ok,high,,,
103,EM197554,000007281812,아인슈타인이 알았더라면,알랭 아스페 지음 ;손윤지 옮김,와이즈베리,,9791175488298,422,422 아57아,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충 / 사서가 제시한 분류 힌트 433(분석화학)은 도서 내용(양자역학)과 부합하지 않아 배제하고 422(양자역학)로 분류함.
104,EM197555,000007281813,자연 본능,지은이: 트리스탄 굴리 ;일러스트: 닐 가워 ;옮긴이: 김지원,바다출판사,서울,9791166894268,400,400 굴298자,needs_info,high,,원서명 / 원저자 영문 표기,"번역 정보 original_title를 웹 조사 결과에서 보충 / 자관 동일 저자 도서(산책자를 위한 자연수업)는 699.104로 분류되어 있으나, 자관 세목 분포상 자연과학 및 생태 관련 도서를 400으로 분류하는 경향이 강하므로 400으로 분류함."
