등록번호,서명,앞선KDC,권고KDC,재분류KDC,청구기호,반려유형,워커상태,확신도,판정,지적,분류경로
EM197493,길 위에서 바울을 보다,230.4,233 또는 982.802,233,233 미198길,세목 부적합,ok,high,통과,,2 종교 → 230 기독교 → 233 성서(성경)
EM197494,나는 생각보다 괜찮은 사람,,,238.248,238.248 홍54나,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 238 '교파 각 교파 및 각 교회의 저작물을',"2 종교 → 23 기독교 → 238 교파 → 238.2 가톨릭교회 → 238.248 신앙생활, 영성생활"
EM197495,니 혼자 부처 되면 뭐하노,,,228.7,228.7 월62니,,ok,high,통과,,2 종교 → 220 불교 → 228 종파 → 228.7
EM197496,모두가 자신의 믿음 없음과 싸우고 있다,,,234.3,234.3 파68모,,ok,high,통과,,"2 종교 → 23 기독교 → 234 종교신앙, 신앙록, 신앙생활 → 234.3 신앙록, 명상록"
EM197497,불안해서 화를 내고 말았습니다,,,234.8,234.8 최72불,,ok,high,통과,,"200 종교 → 230 기독교 → 234 종교신앙, 신앙록, 신앙생활 → 234.8 개인신앙생활"
EM197498,신들은 생각하라고 말한다,290.1,219,219.21,219.21 파57신,세목 부적합,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 219 '신화, 신화학신화의 기원, 의식, 기능 및 비교신화' / [INFO] 권고(219)와 다른 번호를 선택 — 근거 확인 필요","2 종교 → 21 비교종교 → 219 신화, 신화학 → 219.2 서양신화 → 219.21 그리스·로마신화"
EM197499,신화의 역사,,,210,210 심65신,,ok,high,WARN,[WARN] 강목 210까지만 부여 — 세목 검토 필요,2 종교 → 210 비교종교
EM197500,침묵하는 신과 침묵당하는 사람들,,,230,230 조38침,,ok,high,WARN,[WARN] 강목 230까지만 부여 — 세목 검토 필요,2 종교 → 23 기독교 → 230 기독교
EM197501,"10대, AI가 넘볼 수 없는 사람이 되어라",,,330.4,330.4 신56십,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 330 '사회학, 사회문제'","3 사회과학 → 330 사회학, 사회문제 → 330.4 기술과 사회"
EM197502,"60세부터 90세까지, 현명하게 돈 쓰는 법",327.8,327.04 또는 338.6,335,335 오64육,세목 부적합,ok,high,INFO,[INFO] 권고(327.04 또는 338.6)와 다른 번호를 선택 — 근거 확인 필요,"3 사회과학 → 330 사회학, 사회문제 → 335 생활문제"
EM197503,가미야마,331.5,539.7 또는 331.47,539,539 시195가,세목 부적합,ok,high,INFO,[INFO] 권고(539.7 또는 331.47)와 다른 번호를 선택 — 근거 확인 필요,"5 기술과학 → 530 공학, 공업일반, 토목공학, 환경공학 → 539 위생, 도시, 환경공학"
EM197504,감정 채굴,330.4,331.5 또는 321,331.5,331.5 일296감,세목 부적합,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(331.5, 본표 '문화, 문화과정문화사회학')","330 사회학, 사회문제 → 331 사회학 → 331.5 표목 미확인"
EM197505,고스팅,300,331.1 또는 331.5,331.1,331.1 페887고,세목 누락,ok,high,통과,,300 사회과학 → 331 사회학 → 331.1 사회심리학
EM197506,공부나 하라고요? 세상이 이 모양인데?,332,340 또는 070.4,340,340 토18공,세목 부적합,ok,high,WARN,[WARN] 강목 340까지만 부여 — 세목 검토 필요,300 사회과학 → 340 정치학
EM197507,나는 성장주 투자로 40에 은퇴했다,,,327.856,327.856 파25나,,ok,high,통과,,3 사회과학 → 32 경제학 → 327 금융 → 327.856 주식투자
EM197508,노력이 무기가 될 때,370.4,378.9,378.9,378.9 김94노,세목 부적합,ok,high,통과,,370 교육학 → 378 평생교육 → 378.9 부모교육
EM197509,"달러, 코인, 전쟁",327.856,327.2,327.2,327.2 고57달,세목 부적합,ok,high,통과,,327 금융·재정 → 327.2 화폐
EM197510,돈 때문에 불안하다는 착각,,,320,320 다66돈,,ok,high,WARN,[WARN] 강목 320까지만 부여 — 세목 검토 필요,3 사회과학 → 320 경제학
EM197511,리더의 옷은 생각보다 무거웠다,300,325.24,325.24,325.24 이18리,세목 누락,ok,high,통과,,300 사회과학 → 320 경제학 → 325 경영학 → 325.2 경영관리 → 325.24 리더십
EM197512,리더의 일은 맡기는 것이 전부다,325.211,325.24 또는 325.3,325.24,325.24 이42리,세목 부적합,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '경영자최고경영자 및 중간관리자의 역할, 권한, 지위, 리더십' ≠ 워커 '조직관리' (번호는 권고와 일치)",325 경영 → 325.2 경영일반 → 325.24 조직관리
EM197513,미국은 왜 전쟁에서 승리하지 못하는가,300,390 또는 349,390,390 스885미,세목 누락,needs_info,high,WARN,[WARN] 강목 390까지만 부여 — 세목 검토 필요,"300 사회과학 → 390 국방, 군사학"
EM197514,"민주주의를 파괴하는 돈, 거짓말, 신",,,340.942,340.942 스886민,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 340 '정치학',3 사회과학 → 340 정치학 → 340.9 정치사 및 정치사정 → 340.942 미국정치사정
EM197515,부동산 전문 변호사의 경매 유치권 이렇게 쉬웠어?,325.211,327.87 또는 365.7,327.87,327.87 이58부,표목 불일치,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '부동산투자' ≠ 워커 '부동산 경매·투자(자관 세목)' (번호는 권고와 일치),3 사회과학 → 320 경제학 → 327 금융 → 327.87 부동산 경매·투자(자관 세목)
EM197516,사건은 왜 항상 금요일 밤에 일어나는가,,,814.7,814.7 남67사,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 21세기
EM197517,"사라지는 돈, 살아남는 돈, 불어나는 돈",327.87,327.856,327.856,327.856 김95사,표목 불일치,ok,high,통과,,327 금융. 재정 → 327.4 금융시장 → 327.85 증권시장 → 327.856 주식투자
EM197518,사람의 마지막 직업,331.5412,331.5412 유지 가능,331.5412,331.5412 퓨63사,확인 필요,ok,high,FAIL,[FAIL] 표목 불일치: 본표 '과학과 기술의 발달' ≠ 워커 '인공지능과 노동' / [WARN] 앞선 분류 331.5412 그대로 — 재작업으로 바뀌지 않음,3 사회과학 → 33 경제학 → 331 노동경제학 → 331.541 기술과 노동 → 331.5412 인공지능과 노동
EM197519,상처를 끄는 존재들,300,338.9 또는 539.98,301,301 테68상,세목 누락,ok,high,INFO,[INFO] 권고(338.9 또는 539.98)와 다른 번호를 선택 — 근거 확인 필요,300 사회과학 → 301 사회사상
EM197520,상처받은 아이가 아름답다,590.4,598.1 또는 370.18,598.1,598.1 이64상,표목 불일치,ok,high,통과,,590 생활과학 → 598 육아 → 598.1
EM197521,생기부를 결정하는 최상위권 중등 탐구 독서,,,373.1,373.1 박67생,,ok,high,FAIL,"[FAIL] 표목 불일치: 본표 '학습 지도, 조직' ≠ 워커 '학습지도법'",3 사회과학 → 37 교육학 → 373 중등교육 → 373.1 학습지도법
EM197522,성공의 배신,330.1,331.5 또는 336,331.5,331.5 크292성,세목 부적합,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(331.5, 본표 '문화, 문화과정문화사회학')",3 사회과학 → 33 사회학 → 331 사회학 → 표목 미확인
EM197523,세계화는 어떻게 실패했는가,300,322.8,322.8,322.8 린86세,세목 누락,ok,high,통과,,300 사회과학 → 320 경제 → 322 경제정책 → 322.8 국제경제
EM197524,센스 있는 생각에는 틀이 있다,325.211,325.57,325.57,325.57 사885센,세목 부적합,needs_info,high,통과,,3 사회과학 → 325 경영 → 325.57 판매촉진
EM197525,소우주,678,673.5 또는 818,818,818 한57소,표목 불일치,ok,high,통과,,8 문학 → 81 한국문학 → 818 르포르타주 및 기타
EM197526,시사(時事) 고사성어,,,814.7,814.7 김65시,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 21세기
EM197527,오늘 급식은 경제입니다,,,320.4,320.4 홍18오,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 320 '경제학 특수주제의 경제학은 해당주제 아래에 분류한다. 예: 농업경제 522',"3 사회과학 → 320 경제학 → 320.4 경제학. 일반, 교양"
EM197528,우리는 어떤 나라를 원하는가,300,351,351.1219,351.1219 백57우,세목 누락,needs_info,low,INFO,"[INFO] 본표 미수록 조합번호 — 상위 351 '-357 각국 중앙행정지역구분표에 따라 세분한 후, 350.1-.8과 같이 기호를 부가하여 세분한' / [INFO] 권고(351)와 다른 번호를 선택 — 근거 확인 필요",300 사회과학 → 350 행정학 → 351 아시아 중앙행정 및 행정부 → 표목 미확인
EM197529,유대인 엄마의 경제 교육,330.4,378.9 또는 327.04,378.9,378.9 이32유,세목 부적합,needs_info,high,통과,,3 사회과학 → 37 교육학 → 378 평생교육 → 378.9 부모교육
EM197530,육식의 종말,330,381.7 또는 539.98,381,381 리897육,세목 누락,needs_info,low,INFO,[INFO] 권고(381.7 또는 539.98)와 다른 번호를 선택 — 근거 확인 필요,"3 사회과학 → 38 풍속, 예절, 민속학 → 381 의식주의 풍습"
EM197531,이순신의 위대한 경영,,,325.24,325.24 윤25이,,ok,high,통과,,325 경영 → 325.2 조직관리 → 325.24 경영자
EM197532,정프로의 한없이 가벼운 경제 상식,,,320.01,320.01 정64정,,needs_info,high,통과,,3 사회과학 → 320 경제학 → 320.01 경제 철학 및 이론
EM197533,주식 투자의 그릇,,,327.856,327.856 후79주,,ok,high,통과,,3 사회과학 → 32 경제학 → 327 금융 → 327.8 주식투자 → 327.85 주식투자법 → 327.856
EM197534,주인의 눈,300,331.5412 또는 004.7309,331.5412,331.5412 파57주,세목 누락,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '과학과 기술의 발달' ≠ 워커 '자동화' (번호는 권고와 일치),3 사회과학 → 331 노동 → 331.5 노동조건 → 331.54 노동조합 → 331.541 노동과 기술 → 331.5412 자동화
EM197535,중국 AI 미래 지도,325.211,321 또는 004.73,321,321 임54중,표목 불일치,ok,high,통과,,320 경제학 → 321 경제각론
EM197536,지랄맞은 사춘기를 죽지 않고 통과하는 일,,,598.125,598.125 김54지,,ok,high,통과,,5 기술 → 59 가정과학 → 598 육아 → 598.125 청소년
EM197537,질서의 종말,346,349,340.98,340.98 카897질,표목 불일치,needs_info,high,INFO,[INFO] 권고(349)와 다른 번호를 선택 — 근거 확인 필요,3 사회과학 → 340 정치학 → 340.98 정치지리학
EM197538,책은 죽지 않는다 本は死なない,824.7,834.6,834,834 이58책,문학 언어 오배정,ok,high,INFO,[INFO] 권고(834.6)와 다른 번호를 선택 — 근거 확인 필요,8 문학 → 83 일본문학 및 기타 아시아 제문학 → 834 수필
EM197539,청소년과 함께하는 민주주의 이야기,343,340 또는 342,340,340 최883청,미배정 번호,ok,high,WARN,[WARN] 강목 340까지만 부여 — 세목 검토 필요,3 사회과학 → 340 정치학
EM197540,최상위 합격을 만드는 시사 융합 탐구력,378.9,373 또는 376.54,373,373 한57최,세목 부적합,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '학습지도, 교육방식교수이론, 교육공학, 교육기술' ≠ 워커 '학습지도, 교육방법' (번호는 권고와 일치)","3 사회과학 → 370 교육학 → 373 학습지도, 교육방법"
EM197541,콘크리트 유토피아,394,331.47 또는 539.7,331.47,331.47 박93콘,표목 불일치,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(331.47, 본표 '도시사회학, 도시지역사회학')",3 사회과학 → 331 사회학 → 표목 미확인
EM197542,키는 타이밍입니다,590.4,598.1 또는 517.2,598.1,598.1 박57키,표목 불일치,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '육아 일반' ≠ 워커 '영유아 및 아동' (번호는 권고와 일치),5 기술과학 → 590 생활과학 → 598 육아 → 598.1 영유아 및 아동
EM197543,하이브리드 씽킹,300,325.14 또는 189,189,189 정44하,세목 누락,ok,high,통과,,1 철학 → 189 응용심리학 일반
EM197544,헤이세이는 왜 실패했는가,327.87,320.913 또는 322,322,322 노16헤,표목 불일치,ok,high,통과,,3 사회과학 → 320 경제학 → 322 경제정책
EM197545,강아지가 하는 말,591.7,527.41,527.41,527.41 친298강,미존재 세목,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(527.41, 본표 '개')","5 기술과학 → 52 농업, 농학 → 527 축산학 → 527.41 표목 미확인"
EM197546,기후위기는 어떻게 내 몸을 병들게 하는가,400,517 또는 539.98,517,517 베297기,세목 누락,ok,high,통과,,"5 기술과학 → 51 의학 → 517 건강증진, 공중보건 및 예방의학"
EM197547,나 생명과학 좋아하나 봐,470,470.7 또는 371.4,470,470 이15나,세목 누락,needs_info,high,WARN,[WARN] 강목 470까지만 부여 — 세목 검토 필요 / [WARN] 앞선 분류 470 그대로 — 재작업으로 바뀌지 않음,400 자연과학 → 470 생물과학
EM197548,별과 원자,446,443,443,443 에28별,표목 불일치,ok,high,통과,,4 순수과학 → 440 천문학 → 443 기술천문학
EM197549,새들의 세계,477.9699,496.7,498,498 언66새,세목 부적합,ok,high,INFO,[INFO] 권고(496.7)와 다른 번호를 선택 — 근거 확인 필요,4 자연과학 → 490 동물학 → 498 조류
EM197550,생각하는 청소년을 위한 생화학의 역사,546,471.4 또는 474,435.9,435.9 정65생,표목 불일치,needs_info,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 435 '무기화학무기화합물은 435-436에 제시된 원소에 분류한다' / [INFO] 권고(471.4 또는 474)와 다른 번호를 선택 — 근거 확인 필요,4 자연과학 → 43 화학 → 435 생화학 → 435.9 생화학의 역사
EM197551,수의사 설채현의 강아지 성장수업,,,527.41,527.41 설82수,,ok,high,통과,,"5 기술과학 → 520 농업, 농학 → 527 수의학 → 527.41 개"
EM197552,수학자의 생각 수업,410.4,410.1 또는 410,410.1,410.1 주92수,세목 부적합,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '철학 및 이론 수리논리학' ≠ 워커 '수학철학' (번호는 권고와 일치),4 자연과학 → 410 수학 → 410.1 수학철학
EM197553,식물은 어떻게 느끼고 행동하고 기억하는가,481,483,481.1,481.1 곽76식,세목 부적합,ok,high,INFO,[INFO] 권고(483)와 다른 번호를 선택 — 근거 확인 필요,4 자연과학 → 48 식물학 → 481 일반 식물학 → 481.1 식물생리학
EM197554,아인슈타인이 알았더라면,422,420.13 또는 429,420.13,420.13 아57아,표목 불일치,needs_info,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 420 '물리학특정주제에 응용된 물리학은 해당주제 아래에 분류한다. 예: 지구물리학',4 순수과학 → 42 물리학 → 420.13 표목 미확인
EM197555,자연 본능,400,699.104,699.104,699.104 굴298자,세목 누락,needs_info,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 699 '기타 오락 및 레저스포츠야생동물의 보호를',600 예술 → 699 기타 오락 및 레저스포츠 → 699.104 표목 미확인
EM197556,천재 박쥐,473,496.8,499,499 요44천,표목 불일치,ok,high,INFO,[INFO] 권고(496.8)와 다른 번호를 선택 — 근거 확인 필요,4 자연과학 → 490 동물학 → 499 포유류
EM197557,춤추는 단백질,,,474,474 리77춤,,ok,high,통과,,4 자연과학 → 470 생명과학 → 474 세포학(세포생물학)
EM197558,친절한 교과 씨 힘과 운동으로 수다 떨다,421,421 유지 가능,421,421 고73친,확인 필요,ok,high,WARN,[WARN] 앞선 분류 421 그대로 — 재작업으로 바뀌지 않음,4 자연과학 → 420 물리학 → 421 고체역학
EM197559,화성에 도시를 세운다면,530.04,538.9 또는 440,440,440 와68화,세목 부적합,ok,high,WARN,[WARN] 강목 440까지만 부여 — 세목 검토 필요,400 자연과학 → 440 천문학
EM197560,(좋든 싫든) 성수론,300,331.47 또는 539.7,331.47,331.47 권94좋,세목 누락,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(331.47, 본표 '도시사회학, 도시지역사회학')",300 사회과학 → 331 사회학 → 331.47 표목 미확인
EM197561,3~6세 영어가 모국어처럼 스며드는 시간,,,378.9,378.9 이54삼,,ok,high,통과,,3 사회과학 → 37 교육 → 378 평생교육·사회교육 → 378.9 부모교육
EM197562,AI도 모르는 치매 케어 비법,,,338.6,338.6 황68에,,ok,high,통과,,3 사회과학 → 338 사회복지 → 338.6 노인복지
EM197563,가장 똑똑한 AI 활용 공부 가이드,,,373.33,373.33 홍78가,,ok,high,통과,,"3 교육 → 37 교육학 → 373 학습지도, 교육방식 → 373.33 정보기술 활용교육"
EM197564,갱선생의 기적의 다이어트,517.3,517.52,517.52,517.52 갱54갱,세목 부적합,needs_info,high,WARN,[WARN] 표목 인용 미준수: 본표 '식이일반적인 식이를' ≠ 워커 '다이어트' (번호는 권고와 일치),"5 기술과학 → 51 의학 → 517 건강증진, 공중보건 및 예방의학 → 517.52 다이어트"
EM197565,결국 부모는 믿어주는 사람,590.5,598.1,598.1,598.1 이57결,세목 부적합,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '육아 일반' ≠ 워커 '일반육아법' (번호는 권고와 일치),5 기술과학 → 590 생활과학 → 598 육아 → 598.1 일반육아법
EM197566,기질 양육의 뇌과학,598,598.1,378.1,378.1 렝16기,세목 누락,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(378.1, 본표 '성인교육 평생교육') / [INFO] 권고(598.1)와 다른 번호를 선택 — 근거 확인 필요",표목 미확인
EM197567,난생처음 피부과 상담,598,512.9 또는 593,512.54,512.54 성73난,표목 불일치,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(512.54, 본표 '식이요법') / [INFO] 권고(512.9 또는 593)와 다른 번호를 선택 — 근거 확인 필요",5 기술과학 → 510 의학 → 512 임상의학 일반 → 표목 미확인
EM197568,내 아이의 언어 감각,590.4,598.1,598.1,598.1 임25내,표목 불일치,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(598.1, 본표 '육아 일반')",5 기술과학 → 59 생활과학 → 598 육아 → 598.1 표목 미확인
