순,등록번호,제어번호,서명,저자,출판사,발행지,ISBN,KDC,청구기호,상태,확신도,QA 지적,needs_info,메모
52,EM197577,000007281767,어서 오세요 희망약국입니다,임종섭 지음,모과나무,,9791187280675,518,518 임75어,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
53,EM197578,000007281768,우리 아이 평생 육아 마스터플랜,저자 : 김숙자,지누,,9791187849605,598,598 김56우,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
54,EM197579,000007281769,우아한 노화,김수연 지음,북스고,서울,9791167601322,517.3,517.3 김56우,ok,high,,,"하네스가 517.2 또는 511.4를 권고했으나, 노화 및 웰에이징은 517.3(개인위생)에 분류하는 것이 타당하여 앞선 분류 517.3을 유지함."
55,EM197584,000007281770,제시언니의 갱년기 수업,지은이: 제시언니,힘찬북스(HCbooks),고양,9791190227681,517.36,517.36 제58제,needs_info,low,,,
56,EM197585,000007281771,중년을 살리는 하루 4분 운동,이상대 지음,북스고,서울,9791167601339,517.32,517.32 이52중,ok,high,,,
57,EM197587,000007281772,청소년 정신 건강에 관한 모든 질문,홍현주 지음,주니어태학,,9791168104419,513.8,513.8 홍94청,qa_failed,low,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,앞선 분류 517.32(오락과 운동)는 주제와 무관하여 반려됨. 하네스 권고 513.8을 채택하되 본표 발췌에서 세목 표목을 직접 확인하지 못해 confidence를 low로 설정함.
58,EM197589,000007281773,콩팥을 지키려면 음식부터 바꾸셔야겠습니다,류동열 지음,북랩,서울,9791175981812,517.52,517.52 류25콩,needs_info,low,,,
59,EM197592,000007281774,그림 속 철학 풍경,김분선 지음,그린비,서울,9791194513773,166.8,166.8 김46그,ok,high,,,
60,EM197596,000007281775,리피디의 펜 한 자루로 끝내는 뻔뻔한 드로잉,리피디 지음,성안당,파주,9788931510133,651,651 리898리,ok,high,,,
61,EM197600,000007281776,유물멍 : 오래 볼수록 사랑스러운 것들,"기획: 국립중앙박물관,더베이스",더베이스,인천,9791194322276,069,069 국298유,ok,high,,,
62,EM197601,000007281777,음악가의 일,"손일훈,조하정 지음",앤의서재,,9791194877233,670,670 손68음,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
63,EM197602,000007281778,음악의 기술,케니 워너 지음 ;명선혜 옮김,현익출판,서울,9791194793656,676,676 워194음,ok,high,,,"동일 저자의 이전 도서(완전한 연주, 2023)는 670.4로 분류되었으나, 본서는 피아노 연주법과 음악 철학에 특화된 내용이므로 676 건반악기 및 타악기로 분류함. / 하네스 권고(670.1, 672.6)는 본표 발췌에서 세목 표목을 직접 확인할 수 없어 채택하지 않음. 676은 본표에 명시된 건반악기류로 피아노 연주 관련 도서에 적합."
64,EM197609,000007281779,세상에서 가장 순수하고 우수한 말,정소운 지음,황소자리(Taurus),,9791191290547,714,714 정55세,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
65,EM197612,000007281780,자아 만들기,모기룡 지음,미다스북스,서울,9791173559686,740.7,740.7 모18자,ok,high,,,"저자의 이전 도서(181.3, 325.211)는 권력관계·개인브랜딩 주제이나, 본서는 영어 학습 동기부여를 다루므로 주제 강목이 다름. 영어 학습(740) 강목으로 분류. / 사서가 제시한 힌트 830(일본문학)은 본서 주제(영어 학습)와 무관하여 채택하지 않음."
66,EM197613,000007281781,자주 쓰는 영어 단어를 파고듭니다,김지연 저,사람in,,9791171012572,744,744 김78자,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,"앞선 분류 743(사전)은 사전 형식의 도서를 의미하며, 본서는 영어 단어의 다양한 의미와 쓰임을 다루는 어휘 학습서이므로 744(어휘)로 분류함."
67,EM197614,000007281782,지적 대화를 위한 AI 언어 수업,강수진 지음,어웨이크(AWAKE),서울,9791199624979,004.73,004.73 강56지,needs_info,low,,,하네스 권고 번호(004.73)가 본표 발췌에 명시되어 있지 않아 표목 검증이 불가능하므로 confidence를 low로 설정함. 자관 분포에서 004.73이 73건으로 압도적 다수를 차지하여 해당 번호로 분류함.
68,EM197624,000007281783,관계의 그릇,이헌주 지음,위즈덤하우스,서울,9791175910621,189.2,189.2 이94관,ok,high,,,
69,EM197630,000007281784,"기적처럼, 채은이",지은이: 김윤환,삼인,서울,9788964363003,814.7,814.7 김66기,needs_info,low,,,"저자 김윤환의 자관 소장 도서(영어 단어 기억의 비밀, 740)와 주제가 달라 강목이 다름. 앞 책은 영어 학습서이고 이번 책은 희귀질환 딸을 둔 가족의 경험과 성찰을 담은 수필."
70,EM197633,000007281785,나를 살리는 음식들,지은이: 선재,나무의마음,파주,9791190457514,594.51,594.51 선73나,ok,high,,,앞선 분류 814.7은 수필로 보기에 각 부 말미의 레시피 비중이 크고 실용서 성격이 강하여 반려됨. / 자관에서 동일 저자의 사찰음식 도서(선재 스님의 이야기로 버무린 사찰음식)를 594.51로 분류한 전례가 있어 이를 따름.
71,EM197645,000007281786,루미너스,엮은이: 박지선 ;옮긴이: 박산호,황금가지,서울,9791170527527,840,840 박78루,needs_info,low,,원표제 확인 필요 / 책임표시 '엮은이'와 책소개 '작가' 표기 불일치 확인 필요,"번역 정보 original_author_native를 웹 조사 결과에서 보충 / 앞선 분류 813.7(한국소설)은 한국어 원작으로 판단한 것으로 보이나, 책소개에서 영미권 문학상 수상 사실이 확인되어 영어 원작의 번역서로 판단됨. 이에 영미문학(840)로 재분류함. / 하네스 지적에 따라 번역 앤솔러지 여부 확인 결과, 책소개에서 '첫 장편 SF 소설'로 명시되어 단일 번역 소설로 판단됨. 앤솔러지가 아님. / 자관 내 동일 저자 박지선의 기존 자료는 한국어 원작(813.7, 818)과 공저(813.6)로 구성되어 있으나, 본 자료는 영어 원작 번역서로 확인되어 영미문학으로 분류함."
72,EM197658,000007281787,부피의 계산에 대하여 1,지은이: 솔베이 발레 ;옮긴이: 손화수,은행나무,서울,9791167376589,859.81,859.81 발294부,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충
73,EM197663,000007281788,산곡미풍,지은이: 위화 ;옮긴이: 백도라지,푸른숲,파주,9791172541200,824.7,824.7 위95산,ok,high,,,자관 분포 및 동일 저자의 기존 수필집(824.7) 처리 관례에 따라 824.7로 분류. 간략 발췌표에는 시대구분 세목이 생략되었으나 자관 세목 분포(824.7 14건)를 교차검증하여 확정함.
74,EM197680,000007281789,아이를 위한 부모 인문학,김미영 글 ;진미경 그림,바이북스,서울,9791158774127,378.9,378.9 김38아,ok,high,,,
75,EM197687,000007281790,얽히는 돌봄,"희음,김누리,윤은성,최예린,김혜수,보란 지음",오월의봄,파주,9791168731844,338,338 희67얽,ok,high,,,
76,EM197696,000007281791,우리의 여름은 문장이 된다,지은이: 이시은,빅피시,,9791124137574,326.1,326.1 이58우,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,앞선 분류 818은 일본 광고라는 주제 특성상 부적합하여 326(상업)으로 재분류함. / 하네스 권고 834는 일본문학 강목이나 본서는 한국인 저자의 창작 비문학이므로 배제함.
77,EM197707,000007281792,절기 감각,이주연 지음,샘터사,서울,9788946423381,814.7,814.7 이76절,ok,high,,,"앞선 저서 '봄은 핑계고'는 818로 분류되었으나, 본서는 일반적인 수필로 자관의 814.7 분포(451건)를 따름."
78,EM197717,000007281793,진짜 새랑 눈이 마주쳤다니까요,이이은 지음,보리,파주,9791163144793,814.7,814.7 이68진,ok,high,,,
79,EM197733,000007281794,도슨트처럼 박물관 걷기,마일로 로시 지음 ;안진이 옮김,현대지성,서울,9791139732221,069,069 로58도,ok,high,,,번역 정보 original_language를 웹 조사 결과에서 보충 / 번역 정보 original_language_ko를 웹 조사 결과에서 보충 / 번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
80,EM197744,000007281795,일본 책방 도감,마사키 데쓰야 지음 ;백운숙 옮김,윌북,서울,9791155818992,981.302,981.302 마52일,ok,high,,,번역 정보 original_title를 웹 조사 결과에서 보충 / 번역 정보 original_author_native를 웹 조사 결과에서 보충
81,EM197746,000007281796,일상 질문 사전,전성원 지음,유유,파주,9791167701602,909,909 전54일,ok,high,,,
82,EM197748,000007281797,처음 만나는 지경학,"안민호,이용훈 지음",날(도서출판),,9791168104402,322.8,322.8 안38처,qa_failed,high,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / $4aut가 2번 부여되었습니다(정확히 1번이어야 합니다). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,,
83,EM197751,000007281798,"한글, 불편한 진실",강명관 지음,푸른역사,서울,9791156123415,711,711 강34한,ok,high,,,하네스 권고 711.09는 본표 발췌에 포함되지 않아 상위 요목 711로 분류함.
